,Index,display_url,comments,is_video,likes,caption,labels
0,0,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/75595347_999595120392184_6345614641538182648_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=8a534dd971f589d863462d837fc7f00a&oe=5E8BA885,145,FALSE,31505,"Photo by Amber Bracken @photobracken | Jocelyn Weinbender, 14, helps free a bee from her friend's hair. Jocelyn is part of a school-based sustainable food program in Lacombe, Canada, that helps kids learn to grow food. Through the year there is hands-on learning with a fish farm, garden, geodesic dome, and bee hives. #youthforclimate #savethebees #eatlocal #thinkglobalactlocal""","['Hair', 'Beauty', 'Hairstyle', 'Skin', 'Long hair', 'Lip', 'Hand', 'Nail', 'Botany', 'Finger']"
2,2,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/76980244_462113444308885_8822016418787116586_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=67b3f6818fa28534b481020751e034fc&oe=5E68CA87,1018,FALSE,330690,"Photo by Charlie Hamilton James @chamiltonjames | // Supported by Nat Geo Society/Wyss Campaign for Nature committed to protecting 30% of the planet by 2030. // An adult male lion sleeps on the plains of the Mara Naboisho Conservancy in Kenya. His brother is also asleep nearby. Lions sleep a lot. Females, which tend to do the bulk of the hunting and all of the cub rearing, can sleep 15+ hours per day males can sleep up to 20+ hours. If they've eaten a big meal, they often get up only to drink and visit the bush toilet. These two boys hadn't eaten, and it had rained heavily all night, so I guess they needed a little extra shut eye. #campaignfornature""","['Sky', 'Wildlife', 'Natural environment', 'Ecoregion', 'Marsupial', 'Tundra', 'Grassland', 'Macropodidae', 'Plain', 'Cloud']"
3,3,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/75252624_417496569135075_1618290902632508864_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=1bda0ccc7533608fb03372083a9c0f24&oe=5E80B6D9,660,FALSE,217013,"Photo by @brianskerry | A great white shark swims just below the surface in the waters of South Australia. New research is revealing fascinating and complex lives of this apex predator species of shark. One study states that white sharks live well into their 70s, which is longer than previously believed. Yet so much still remains unknown about this largest predatory fish on Earth. What is known, however, is that their value, as with all predators, is substantial to the health of the world’s oceans. To learn more about sharks and other ocean animals follow @BrianSkerry.  #sharks, #australia #predators'","['Great white shark', 'Shark', 'Lamniformes', 'Tiger shark', 'Lamnidae', 'Cartilaginous fish', 'Fish', 'Requiem shark', 'Carcharhiniformes', 'Marine biology']"
4,4,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/71577870_155224255704097_5206817433726545846_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=d0008b715ab1bed705f2a6e67041b786&oe=5E8AC219,1458,FALSE,281516,"Photo by @gabrielegalimbertiphoto and Juri De Luca | Fossils of long-extinct creatures aren’t just for museums. Today there’re in homes and business, as wealthy collectors indulge a controversial hobby. \nToy dinosaurs may occupy the imagination of his son, Edoardo, but for Italian film director and producer Francesco Invernizzi (reading), only the real thing will do. “I have always wanted to have a dinosaur,” he says, “and finally I decided to buy one.” Though the massive skull he purchased belonged to a mosasaur, which is a marine reptile and not a dinosaur, Invernizzi prizes the ancient animal head, now in the living room of his home near Milan. The specimen eventually will be moved to an “in-house natural history museum,” he says, along with other objects he’s collected.\xa0\xa0#dinosaur #fossil #extinct #dinosaurs'","['Room', 'Living room', 'Furniture', 'Interior design', 'Table', 'Couch', 'Home', 'House']"
5,5,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/74891097_706721729813276_3462615056592196446_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=5c66c8ed74b4f5bf2fdd1828780bb0d8&oe=5E6E1EEB,540,FALSE,161964,"Photo by @amivitale | Jenabu, 13, waits for her teacher to arrive in the small school in a village in Guinea Bissau. I first visited this village in 2000, on a grant from the @alexiafoundation. The Fulani, who live in this village, had once been nomads, crisscrossing Africa. They were a civilization known for\xa0\xa0constant movement. The former nomads had settled in a village, become farmers, and struggled to adapt to a world that had rudely intruded upon them. Ten years later, I returned and found girls like Jenabu. Although the village still faced many struggles, one of the inspiring things I found was that at least some of the girls, like Jenabu, in this conservative rural area were able to access education. Another girl's grandfather had even bought her a bike to ride there. In many ways the world really is changing for the better. @rippleeffectimages #girls #guineabissau #africa #education""","['Face', 'Black', 'People', 'Skin', 'Child', 'Head', 'Lip', 'Eyebrow', 'Beauty', 'Nose']"
6,6,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/75341418_524547481462294_8043067936917090093_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=a78b8dd810d8bec1dfe8f0e11d22cd3c&oe=5E869761,1419,FALSE,293294,"Photo by @jasperdoest | Penguins, like other birds in cold climates, have adaptations to avoid losing too much heat and to preserve a central body temperature of about 40°C. The feet pose particular problems since they cannot be covered with insulation in the form of feathers or blubber yet have a wide surface area. Two mechanisms are at work. First, the penguin can control the rate of blood flow to the feet by varying the diameter of arterial vessels supplying the blood. In cold conditions the flow is reduced when it is warm the flow increases. \nHowever, penguins also have countercurrent heat exchangers at the top of the legs. Arteries supplying warm blood to the feet break up into many small vessels that are closely allied to similar numbers of venous vessels bringing cold blood back from the feet. Heat flows from the warm blood to the cold blood. This way penguin feet are held a degree or two above freezing—to minimise heat loss while avoiding frostbite. \nFollow @jasperdoest for more images of the wonders of nature and the human-wildlife relationship. #onassignment @natgeoexpeditions #penguin #feet #bird #winter'","['Flightless bird', 'Gentoo penguin', 'Feather', 'Penguin', 'Bird', 'Emperor penguin', 'Leg', 'Fur', 'Beak', 'Claw']"
7,7,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/74673934_196468341485636_3504207076132819411_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=0e377b67a9f66f77773f7941b17356f3&oe=5E6F4D9C,1116,FALSE,526240,"Photos by Pete McBride @pedromcbride | Source to Sea: 150 years ago, John Wesley Powell–scientist, explorer, and Union Civil War veteran (he lost his right arm at the Battle of Shiloh)– launched his wooden boat from Green River Station, in the Wyoming Territory, in the first scientific study and expedition down the Green and Colorado Rivers. Adventurers celebrated this historic anniversary with friends at @americanrivers, comparing their own river findings today to what Powell observed a century and a half ago—on the same river with a very different look. \nPowell and his men traveled for three months downriver to the confluence of the Colorado and Virgin rivers in present-day Nevada, navigating treacherous whitewater and losing supplies along the way. As we mark the 150th anniversary of Powell’s exploration, it\'s important to amplify his calls for water sustainability and stewardship in the West and nationwide. When it comes to managing our most precious natural resource, much of the next 150 years and beyond will be charted by water. ""We are now ready to start on our way down the Great Unknown...We have an unknown distance yet to run, an unknown river to explore. What falls there are, we know not what rocks beset the channel, we know not what walls ride over the river, we know not."" — John Wesley Powell. #grandcanyon #coloradoriver #Powell150 #rivers #adventure'","['Geological phenomenon', 'Geology', 'Rock']"
8,8,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/72223374_153189105956490_6299409432736572971_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=937ba66fcc7a096228e9bb5586c6faf8&oe=5E6590A8,423,FALSE,215519,"Photo by William Albert Allard @williamalbertallard | Buckaroo Ricky Morris wrangles a horse, Nevada, 1979. Each morning and late afternoon, buckaroos on IL Ranch cow crew picked a horse to ride. The working cowboy has never made much money, but he had a certain independence. The skills, like wrangling, don’t come with the hat. They have to be acquired and learned.\n\nI took this shot in early morning light. The dust acts as a scrim over the picture, but the key to the image is the rope. The line of that rope cutting the diagonal at the back of Ricky’s hand, then the sharp vertical descending to the coil of ropes, which is just off-center of the picture ….that’s the handle for the photograph. Right there.\n\nFor more images of the American West and other assignments spanning a five-decade career #followme @williamalbertallard\n#ranch #cowboy #horses #nevada'","['Action-adventure game', 'Horse', 'Cowboy', 'Screenshot', 'Pc game', 'Working animal', 'Wrangler', 'Adventure game', 'Gunfighter', 'Games']"
9,9,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74399815_558600254975161_6524292259231338831_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=1418a4e68bce126035459568f9962a58&oe=5E87E44D,980,FALSE,239701,"Photo by Katie Orlinsky @katieorlinsky | A young girl stands next to freshly caught sheefish on the frozen Kotzebue Sound. While she may have had some help catching this large local species of fish, she will most likely be catching them on her own soon enough. The city of Kotzebue is one of Alaska’s largest Inupiat communities, with a population of 3,000, and the main transportation and commerce hub for the Northwest Arctic region of the state. The city is facing serious infrastructure issues as a result of permafrost thaw and coastal erosion, as well as challenges to its residents' traditional subsistence hunting practices in the face of climate change. Hunting, fishing, and foraging for food are not only crucial as the main food sources for Inupiat communities in the Alaskan Arctic, they are the backbone of cultural, spiritual, and everyday life—and important rites of passage for children like this little girl.""","['Winter', 'Snow', 'Arctic', 'Ice', 'Headgear', 'Playing in the snow', 'Geological phenomenon', 'Child', 'Recreation', 'Freezing']"
10,10,https://instagram.fftw1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/74943810_148643403112451_2858410470931150709_n.jpg?_nc_ht=instagram.fftw1-1.fna.fbcdn.net&_nc_cat=1&oh=f896da83972fcb7fc72164f468ba13ec&oe=5E6D9931,1059,FALSE,215328,"Photo by Trevor Frost @tbfrost | Snakes in cars! It's true! A snake rescuer carefully removes an Indian cobra from inside the engine of a parked car in Bangalore, a large city in southern India with a human population of around eight million. Many species of snake, especially Indian cobras, seem to be very well suited for living in highly developed human areas, which is why so many are being found inside human homes. To meet more of the snake rescuers from India, I'm @tbfrost""","['People', 'Fun', 'Event', 'Crowd', 'Art', 'Night', 'Performance']"
